epoch,step,train/bbox_loss,train/cls_loss,train/loss,train/obj_loss,val/loss,val/mean_iou,val/precision,val/recall
0,49,0.8129746913909912,0.0939049944281578,8.310104370117188,0.08645159006118774,,,,
0,99,0.17956581711769104,0.057901643216609955,1.9662331342697144,0.11267340928316116,,,,
0,149,0.20637276768684387,0.048994433134794235,2.195615768432617,0.08289353549480438,,,,
0,163,,,,,2.190460205078125,0.0,0.0,0.0
1,199,0.18785540759563446,0.030925491824746132,2.0047717094421387,0.09529212862253189,,,,
1,249,0.21146713197231293,0.02154896780848503,2.194688320159912,0.05846818909049034,,,,
1,299,0.19441105425357819,0.025873925536870956,2.0621490478515625,0.0921645537018776,,,,
1,327,,,,,1.9749771356582642,0.0,0.0,0.0
2,349,0.28865936398506165,0.018595842644572258,2.9666223526000977,0.061432741582393646,,,,
2,399,0.16605690121650696,0.026075229048728943,1.8003528118133545,0.11370857059955597,,,,
2,449,0.23921850323677063,0.024556459859013557,2.493967294692993,0.07722601294517517,,,,
2,491,,,,,1.8036823272705078,0.0,0.0,0.0
3,499,0.15855510532855988,0.03347017616033554,1.7870378494262695,0.16801662743091583,,,,
3,549,0.0632016658782959,0.012526950798928738,0.6920269727706909,0.0474834069609642,,,,
3,599,0.15839539468288422,0.019175933673977852,1.672706961631775,0.06957709044218063,,,,
3,649,0.10545326769351959,0.015590930357575417,1.1272077560424805,0.05708422511816025,,,,
3,655,,,,,2.0048577785491943,0.0,0.0,0.0
4,699,0.09645306318998337,0.02914351597428322,1.167808175086975,0.17413398623466492,,,,
4,749,0.13395299017429352,0.013291756622493267,1.420396089553833,0.06757453829050064,,,,
4,799,0.1717512309551239,0.01823120191693306,1.8220354318618774,0.08629189431667328,,,,
4,819,,,,,7.596608638763428,0.0,0.0,0.0
5,849,0.10972622036933899,0.02608027309179306,1.2125648260116577,0.08922238647937775,,,,
